"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"1027238","Defence Colony","Joint Venture","India","New Delhi","New Delhi","110024","Block D, Defence Colony, New Delhi","[28.57285,77.23694]","",""
"1027474","Namaste Midway","Joint Venture","India","Jhangirpur","Uttar Pradesh","251203","NH 58, Delhi-Haridwar Highway, Mansurpur","[29.34455,77.71550]","",""
"1031315","Nainitial- Delhi Highway","Joint Venture","India","Salarpur","Uttar Pradesh","244235","AH2, Delhi-NCR","[28.83736,78.27753]","",""
"1027925","Peninsula Corporate Park","Joint Venture","India","Mumbai","Maharashtra","400013","Tulsi Pipe Rd, Lower Parel, Mumbai","[18.99887,72.82568]","",""
"1028241","BIAL Quad","Joint Venture","India","Bengaluru","Karnataka","560300","Quad Area Devanahalli, Bengaluru","[13.20028,77.70945]","",""
"1028274","Vegas Mall","Joint Venture","India","New Delhi","New Delhi","110078","Pocket 1, Sector 14, New Delhi","[28.60087,77.02969]","",""
"1028536","Statue Of Unity","Joint Venture","India","Thavadia","Gujarat","393151","Statue of Unity Campus, Kevadia, Kevadia","[21.83825,73.71886]","",""
"1028654","Lulu Mall Bangalore","Joint Venture","India","Bengaluru","Karnataka","560023","Lulu Global Mall, Gopalapura, Binnipete, Bengaluru","[12.98179,77.56378]","",""
"1028644","Kabra Metro One","Joint Venture","India","Mumbai","Maharashtra","400053","Aram Nagar, Seven Bunglow, Andheri West, Mumbai","[19.13057,72.82218]","",""
"1028679","Ranjit Avenue","Joint Venture","India","Amritsar","Punjab","143001","Ajnala Road, Block-D Scheme, Amritsar","[31.65522,74.85562]","",""
"1028680","Manor Maxx","Joint Venture","India","Ahmedabad","Gujarat","380009","Commerce College Road, Navrangpura, Ahmedabad","[23.03417,72.55512]","",""
"1029441","Berger Tower","Joint Venture","India","Noida","Uttar Pradesh","201301","Sector 16 B, Noida","[28.57441,77.31262]","",""
"1029709","Arera Colony","Joint Venture","India","Bhopal","Madhya Pradesh","462016","Market No. 10, Bhopal","[23.21468,77.43435]","",""
